상호명,지점명,시도명,시군구명,도로명주소
커피빈장안점,장안점,서울특별시,동대문구,서울특별시 동대문구 장한로 115
커피빈코리아도곡동지오빌딩점,코리아도곡동지오빌딩점,서울특별시,강남구,서울특별시 강남구 도곡로 206
커피빈코리아노원역점,코리아노원역점,서울특별시,노원구,서울특별시 노원구 노해로 490
커피빈코리아보라매공원,,서울특별시,동작구,서울특별시 동작구 보라매로5길 35
커피빈코리아수유역점,코리아수유역점,서울특별시,강북구,서울특별시 강북구 도봉로 352
커피빈,코리아목동트라팰리스점,서울특별시,양천구,서울특별시 양천구 오목로 299
커피빈,코리아현대자동차여의도점,서울특별시,영등포구,서울특별시 영등포구 국제금융로 20
커피빈코리아강남역먹자골목점,코리아강남역먹자골목점,서울특별시,강남구,서울특별시 강남구 테헤란로1길 29
커피빈,코리아교대역점,서울특별시,서초구,서울특별시 서초구 서초대로 280
커피빈,코리아뉴교보타워옆점,서울특별시,서초구,서울특별시 서초구 강남대로 449-3
커피빈,코리아뉴압구정점,서울특별시,강남구,서울특별시 강남구 논현로167길 9
커피빈,코리아방배카페골목점,서울특별시,서초구,서울특별시 서초구 방배중앙로 187
커피빈,코리아소공동삼화빌딩점,서울특별시,중구,서울특별시 중구 남대문로7길 16
커피빈,코리아광화문역1번출구점,서울특별시,종로구,서울특별시 종로구 새문안로5가길 7
커피빈,여의도역점,서울특별시,영등포구,서울특별시 영등포구 의사당대로 110
커피빈코리아구로디지털단지점,코리아구로디지털단지점,서울특별시,구로구,서울특별시 구로구 디지털로 273
커피빈,코리아강남에스점,서울특별시,서초구,서울특별시 서초구 강남대로 423
커피빈,코리아고대안암역점,서울특별시,성북구,서울특별시 성북구 개운사길 8
커피빈,코리아삼성봉은사로점,서울특별시,강남구,서울특별시 강남구 봉은사로 628
커피빈,코리아신촌점,서울특별시,서대문구,서울특별시 서대문구 연세로 8-1
커피빈,연대동문회관점,서울특별시,서대문구,서울특별시 서대문구 연세로 50
커피빈,코리아강남역GT타워옆점,서울특별시,서초구,서울특별시 서초구 서초대로73길 12
커피빈,상수역점,서울특별시,마포구,서울특별시 마포구 와우산로10길 3
커피빈,코리아수서역원방빌딩점,서울특별시,강남구,서울특별시 강남구 광평로51길 6-23
커피빈,코리아강남대로점,서울특별시,서초구,서울특별시 서초구 강남대로 369
커피빈코리아포스코옆삼성로86길점,코리아포스코옆삼성로86길점,서울특별시,강남구,서울특별시 강남구 삼성로86길 11
커피빈코리아고대참살이길점,코리아고대참살이길점,서울특별시,성북구,서울특별시 성북구 인촌로24길 25
커피빈코리아인사점,코리아인사점,서울특별시,종로구,서울특별시 종로구 인사동4길 18
커피빈,코리아합정역점,서울특별시,마포구,서울특별시 마포구 독막로 13
커피빈코리아역삼점,코리아역삼점,서울특별시,강남구,서울특별시 강남구 논현로 512
