상호명,지점명,시도명,시군구명,도로명주소
이디야커피,COFFEE이디야커피장위중앙점,서울특별시,성북구,서울특별시 성북구 장위로 35
EDIYACOFFEE,,서울특별시,도봉구,서울특별시 도봉구 도봉로 964-40
EDIYACOFFEE,,서울특별시,구로구,서울특별시 구로구 구로중앙로 174
이디야커피,장한평점,서울특별시,성동구,서울특별시 성동구 천호대로 426
이디야커피,수유1동점,서울특별시,강북구,서울특별시 강북구 삼양로 293
이디야커피,충무필동점,서울특별시,중구,서울특별시 중구 퇴계로 218-5
이디야커피,내방역점,서울특별시,서초구,서울특별시 서초구 서초대로 108
이디야커피,구로디지털점,서울특별시,구로구,서울특별시 구로구 디지털로31길 81
이디야커피,신림신원점,서울특별시,관악구,서울특별시 관악구 신원로 16
이디야커피,,서울특별시,강남구,서울특별시 강남구 영동대로 513
이디야커피중곡대원점,중곡대원점,서울특별시,광진구,서울특별시 광진구 용마산로 111
이디야커피,고덕래미안힐스점,서울특별시,강동구,서울특별시 강동구 아리수로50길 50
이디야커피,송파파인타운점,서울특별시,송파구,서울특별시 송파구 충민로2길 28
EDIYACOFFEE,,서울특별시,노원구,서울특별시 노원구 화랑로 341
이디야커피,4.19사거리점,서울특별시,강북구,서울특별시 강북구 삼양로 501
이디야커피,잠실나루역점,서울특별시,송파구,서울특별시 송파구 올림픽로35길 94
이디야커피,이수중앙점,서울특별시,동작구,서울특별시 동작구 사당로 285
이디야커피숍,,서울특별시,양천구,서울특별시 양천구 신정로11길 50-15
이디야커피,마곡나루역점,서울특별시,강서구,서울특별시 강서구 마곡중앙5로 6
이디야커피,고척스카이돔점,서울특별시,구로구,서울특별시 구로구 경인로 397
이디야커피,까치산역점,서울특별시,강서구,서울특별시 강서구 강서로17길 6
이디야커피,망원역점,서울특별시,마포구,서울특별시 마포구 월드컵로 82-1
이디야커피,구의역점,서울특별시,광진구,서울특별시 광진구 구의로 4
이디야커피,,서울특별시,중랑구,서울특별시 중랑구 동일로 901
이디야커피신림남부초교점,신림남부초교점,서울특별시,관악구,서울특별시 관악구 남부순환로 1541-1
이디야커피,화곡중앙시장점,서울특별시,강서구,서울특별시 강서구 가로공원로76길 63
이디야커피,개포역점,서울특별시,강남구,서울특별시 강남구 개포로82길 11
이디야커피,태평로점,서울특별시,중구,서울특별시 중구 세종대로11길 26
이디야커피,금란망우점,서울특별시,중랑구,서울특별시 중랑구 망우로 460
이디야커피,연대서문점,서울특별시,서대문구,서울특별시 서대문구 연희로10길 86
이디야커피,서교동점,서울특별시,마포구,서울특별시 마포구 와우산로29길 70
이디야커피정릉아리랑점,정릉아리랑점,서울특별시,성북구,서울특별시 성북구 북악산로 851
이디야커피신금호역점,신금호역점,서울특별시,성동구,서울특별시 성동구 무수막길 89-30
이디야커피한국수출입은행점,한국수출입은행점,서울특별시,영등포구,서울특별시 영등포구 은행로 17
이디야커피,목동파리공원점,서울특별시,양천구,서울특별시 양천구 목동동로 379
이디야커피영등포본동점,영등포본동점,서울특별시,영등포구,서울특별시 영등포구 영신로9나길 16-5
이디야커피,홍대중앙점,서울특별시,마포구,서울특별시 마포구 양화로 124
이디야커피,동원사거리점,서울특별시,중랑구,서울특별시 중랑구 겸재로 240
이디야커피,동묘역점,서울특별시,종로구,서울특별시 종로구 종로 354
이디야커피신길썬프라자점,신길썬프라자점,서울특별시,영등포구,서울특별시 영등포구 신길로 42
이디야커피,디지털미디어시티역사점,서울특별시,은평구,서울특별시 은평구 수색로 175
이디야커피광산사거리점,광산사거리점,서울특별시,강북구,서울특별시 강북구 한천로 1083
이디야커피,하계온천점,서울특별시,노원구,서울특별시 노원구 노원로 257
이디야커피,신월5동점,서울특별시,양천구,서울특별시 양천구 화곡로 50
이디야커피,구로에이스점,서울특별시,구로구,서울특별시 구로구 디지털로33길 11
이디야커피,한강진역사점,서울특별시,용산구,서울특별시 용산구 이태원로 287
이디야커피,우이역도선사점,서울특별시,강북구,서울특별시 강북구 삼양로173길 21
이디야커피도봉산역사점,도봉산역사점,서울특별시,도봉구,서울특별시 도봉구 도봉로 964-33
이디야커피,함지박사거리점,서울특별시,서초구,서울특별시 서초구 방배로 234
이디야커피,위례아이파크점,서울특별시,송파구,서울특별시 송파구 위례광장로 136
이디야커피,총신대점,서울특별시,동작구,서울특별시 동작구 사당로16가길 96
이디야커피,청담역사점,서울특별시,강남구,서울특별시 강남구 학동로 508
이디야커피,가산에이스점,서울특별시,금천구,서울특별시 금천구 가산디지털1로 196
이디야커피,여의나루역점,서울특별시,영등포구,서울특별시 영등포구 여의나루로 113
이디야커피,사가정아이파크점,서울특별시,중랑구,서울특별시 중랑구 동일로92길 57
이디야커피용두점,용두점,서울특별시,동대문구,서울특별시 동대문구 고산자로 413-1
이디야커피,신도림메르디앙점,서울특별시,구로구,서울특별시 구로구 신도림로 65
