????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
?????,??,85? ??,83011,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,85 - 89?,54878.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,90 - 94?,22131,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,95 - 99?,5218.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,100? ??,783,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,?,144865.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,0 - 4?,3309,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,5 - 9?,4548.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,10 - 14?,5120,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,15 - 19?,6181.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,20 - 24?,10602,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,25 - 29?,12667.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,30 - 34?,9995,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,35 - 39?,9795.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,40 - 44?,9649.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,45 - 49?,12221,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,50 - 54?,12286.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,55 - 59?,12160,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,60 - 64?,10734.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,65 - 69?,7636.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,70 - 74?,6244.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,75 - 79?,5449.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80? ??,6264.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80 - 84?,3682,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85? ??,2582.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85 - 89?,1748.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,90 - 94?,639,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,95 - 99?,169,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,100? ??,26,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,70612.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,1668,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,2296.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,2575,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,3098.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,4975.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,6526,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,5004.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,4820,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,4635.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,5993,,,,,,,,,,,,,,,,,,,,,,,,
